,legacy_customers,legacy_products,legacy_sales,modern_customers,modern_products,modern_sales,third_customers,third_products,third_sales
legacy_customers,1.0,0.08178610570532842,0.10193323393183269,0.08124244064548039,0.0,0.008495414305760101,0.1492890657765389,0.028189412323222824,0.054920103168215
legacy_products,0.07528111080480085,1.0,0.09155403327957952,0.01044570748110118,0.10738939155426919,0.0,0.010630782024712366,0.07773728098930673,0.012971039738665058
legacy_sales,0.1022349985826106,0.08954051389991313,1.0,0.01997796036766647,0.012530032106876018,0.05265822034740168,0.048654215714558816,0.026607933746153316,0.107162989365342
modern_customers,0.08782603705517117,0.01044570748110118,0.010141623226874442,1.0,0.06760823409168129,0.071715905712673,0.06130484623096544,0.010263994084894692,0.010263994084894692
modern_products,0.0,0.07397262093622414,0.011390938278978198,0.08017826437429382,1.0,0.0751606185992726,0.0,0.08667967880642853,0.02765692010661712
modern_sales,0.020030834307704148,0.0,0.05260534640736401,0.08025182265530359,0.06507124894744057,1.0,0.020018739035903614,0.0,0.05411300893345108
third_customers,0.15388222290837517,0.019328694590386122,0.035130546098102844,0.05573167839178676,0.0,0.009262128542411506,1.0,0.1052626458812732,0.09970087457535771
third_products,0.043347114477283316,0.07344823609187259,0.026607933746153316,0.03004225794741299,0.09534764668707138,0.0,0.10008537149697054,1.0,0.08413467960317823
third_sales,0.061905487084151375,0.012971039738665058,0.11281864852434623,0.019923251317694686,0.03042261211727883,0.05385998428614176,0.10195556175427886,0.0933383113951482,1.0
